domain,hn_stories,hn_points,source
blog.samaltman.com,9,1725,kagi-smallweb hn-popularity
two-wrongs.com,9,1669,hn-popularity
jacquesmattheij.com,9,1650,kagi-smallweb hn-popularity
ericmigi.com,8,5932,hn-popularity
samwho.dev,8,4682,kagi-smallweb hn-popularity
davidoks.blog,8,3427,hn-popularity
blog.miguelgrinberg.com,8,3001,kagi-smallweb
anildash.com,8,2994,kagi-smallweb hn-popularity
redblobgames.com,8,2737,kagi-smallweb hn-popularity
baldurbjarnason.com,8,2233,kagi-smallweb hn-popularity
xn--gckvb8fzb.com,8,2157,kagi-smallweb hn-popularity
copetti.org,8,2152,kagi-smallweb hn-popularity
qntm.org,8,2128,kagi-smallweb hn-popularity
without.boats,8,2003,kagi-smallweb hn-popularity
longform.asmartbear.com,8,1982,kagi-smallweb
blog.cr.yp.to,8,1946,kagi-smallweb hn-popularity
daemonology.net,8,1910,kagi-smallweb hn-popularity
palant.info,8,1902,kagi-smallweb hn-popularity
phoboslab.org,8,1894,kagi-smallweb hn-popularity
benhoyt.com,8,1888,kagi-smallweb hn-popularity hn-personal-blogs
sethmlarson.dev,8,1867,kagi-smallweb
mcyoung.xyz,8,1867,kagi-smallweb hn-popularity
kobzol.github.io,8,1825,kagi-smallweb
randomascii.wordpress.com,8,1793,kagi-smallweb hn-popularity
fasterthanli.me,8,1721,kagi-smallweb hn-popularity hn-personal-blogs
chriscoyier.net,8,1645,kagi-smallweb hn-popularity
thenumb.at,8,1635,kagi-smallweb
ochagavia.nl,8,1606,kagi-smallweb hn-personal-blogs
lethain.com,8,1592,kagi-smallweb hn-popularity
mattlakeman.org,8,1589,kagi-smallweb hn-popularity
world.hey.com,8,1559,kagi-smallweb hn-personal-blogs
probablydance.com,8,1515,kagi-smallweb hn-popularity
johncarlosbaez.wordpress.com,8,1422,kagi-smallweb hn-popularity
scattered-thoughts.net,8,1407,kagi-smallweb hn-popularity
interconnected.org,8,1379,kagi-smallweb
kerkour.com,8,1276,kagi-smallweb hn-popularity
walzr.com,7,6567,hn-popularity
geoffreylitt.com,7,3736,kagi-smallweb hn-popularity
refactoringenglish.com,7,3128,kagi-smallweb hn-popularity
idlewords.com,7,3088,kagi-smallweb hn-popularity
raptitude.com,7,2996,kagi-smallweb hn-popularity
rakhim.exotext.com,7,2943,kagi-smallweb hn-popularity
blinry.org,7,2903,kagi-smallweb hn-popularity
alexharri.com,7,2692,kagi-smallweb hn-popularity
danielchasehooper.com,7,2686,kagi-smallweb hn-popularity
vgel.me,7,2603,kagi-smallweb hn-popularity
makingsoftware.com,7,2530,hn-popularity
werd.io,7,2471,kagi-smallweb hn-personal-blogs
allthingsdistributed.com,7,2452,kagi-smallweb hn-popularity
tylercipriani.com,7,2362,kagi-smallweb hn-popularity
aresluna.org,7,2342,kagi-smallweb hn-popularity
xania.org,7,2332,kagi-smallweb hn-popularity
anderegg.ca,7,2304,kagi-smallweb hn-personal-blogs
soatok.blog,7,2118,kagi-smallweb hn-popularity hn-personal-blogs
kristoff.it,7,2095,kagi-smallweb hn-popularity
blog.ericgoldman.org,7,2055,kagi-smallweb
bessstillman.substack.com,7,2024,hn-popularity
avi.im,7,1951,kagi-smallweb
nullpt.rs,7,1924,kagi-smallweb
lisyarus.github.io,7,1846,kagi-smallweb
512pixels.net,7,1843,kagi-smallweb hn-popularity
fzakaria.com,7,1843,kagi-smallweb
jasoneckert.github.io,7,1814,kagi-smallweb hn-personal-blogs
apenwarr.ca,7,1759,kagi-smallweb hn-popularity
ianthehenry.com,7,1736,kagi-smallweb hn-popularity
acko.net,7,1734,kagi-smallweb hn-popularity
dustri.org,7,1703,kagi-smallweb
yorickpeterse.com,7,1621,kagi-smallweb
danielmangum.com,7,1621,kagi-smallweb hn-popularity
maggieappleton.com,7,1616,kagi-smallweb hn-popularity
henrikwarne.com,7,1610,kagi-smallweb
calpaterson.com,7,1599,kagi-smallweb hn-popularity
til.simonwillison.net,7,1575,kagi-smallweb
mmapped.blog,7,1552,kagi-smallweb
bitfieldconsulting.com,7,1481,kagi-smallweb hn-popularity
aethermug.com,7,1472,kagi-smallweb
davidrevoy.com,7,1458,kagi-smallweb hn-popularity
j3s.sh,7,1412,kagi-smallweb hn-popularity
kalzumeus.com,7,1406,hn-popularity
paulkrugman.substack.com,7,1356,hn-popularity
blog.greg.technology,7,1332,kagi-smallweb
jacobfilipp.com,7,1321,kagi-smallweb
lewiscampbell.tech,7,1319,kagi-smallweb
mceglowski.substack.com,7,1276,hn-popularity
rednafi.com,7,1256,kagi-smallweb hn-popularity
brainbaking.com,7,1256,kagi-smallweb
neugierig.org,7,1192,kagi-smallweb hn-popularity
lawrencecpaulson.github.io,7,1185,kagi-smallweb
quuxplusone.github.io,7,1169,kagi-smallweb hn-popularity
signoregalilei.com,7,1122,kagi-smallweb
themarginalian.org,7,1092,hn-popularity
nand2mario.github.io,7,1023,kagi-smallweb
0xsid.com,6,5539,kagi-smallweb hn-popularity
rosenzweig.io,6,4846,hn-popularity
oimo.io,6,4749,hn-popularity
theshamblog.com,6,4060,kagi-smallweb hn-popularity
addyosmani.com,6,3506,kagi-smallweb hn-popularity
samcurry.net,6,3491,kagi-smallweb hn-popularity
unchartedterritories.tomaspueyo.com,6,3311,hn-popularity
jonathanhaidt.substack.com,6,3153,hn-popularity
karpathy.github.io,6,2835,kagi-smallweb hn-popularity
neilzone.co.uk,6,2774,kagi-smallweb hn-popularity
jacobbartlett.substack.com,6,2737,hn-popularity
waxy.org,6,2612,kagi-smallweb hn-popularity
mrbruh.com,6,2547,kagi-smallweb hn-popularity
mariozechner.at,6,2492,kagi-smallweb hn-popularity
michaelgeist.ca,6,2428,kagi-smallweb hn-popularity
axleos.com,6,2300,hn-popularity
build-your-own.org,6,2128,hn-popularity
diamondgeezer.blogspot.com,6,1928,hn-popularity
nicholas.carlini.com,6,1927,kagi-smallweb
drobinin.com,6,1901,kagi-smallweb
amygoodchild.com,6,1889,kagi-smallweb hn-popularity
kk.org,6,1888,hn-popularity
httptoolkit.com,6,1856,hn-popularity
prog21.dadgum.com,6,1849,hn-popularity
robinsloan.com,6,1847,kagi-smallweb hn-popularity
vadimkravcenko.com,6,1808,hn-popularity hn-personal-blogs
dotat.at,6,1789,kagi-smallweb hn-popularity hn-personal-blogs
lyra.horse,6,1783,kagi-smallweb
martin.kleppmann.com,6,1761,kagi-smallweb hn-popularity
futilitycloset.com,6,1746,kagi-smallweb hn-popularity
ben.page,6,1681,kagi-smallweb hn-popularity
noahpinion.blog,6,1680,hn-popularity
stephendiehl.com,6,1662,kagi-smallweb hn-popularity
alexmolas.com,6,1650,kagi-smallweb hn-popularity hn-personal-blogs
moultano.wordpress.com,6,1648,kagi-smallweb hn-popularity
blog.nelhage.com,6,1629,kagi-smallweb
louwrentius.com,6,1591,kagi-smallweb
read.engineerscodex.com,6,1582,hn-popularity
mazzo.li,6,1555,kagi-smallweb
blog.dshr.org,6,1546,kagi-smallweb
eaton-works.com,6,1538,kagi-smallweb
platformer.news,6,1531,hn-popularity
chrbutler.com,6,1512,kagi-smallweb
dgl.cx,6,1494,kagi-smallweb
infrequently.org,6,1483,kagi-smallweb
notgull.net,6,1483,kagi-smallweb
andreinc.net,6,1470,kagi-smallweb hn-popularity
huyenchip.com,6,1461,kagi-smallweb
agwa.name,6,1459,kagi-smallweb
norvig.com,6,1440,hn-popularity
ma.tt,6,1422,kagi-smallweb hn-popularity
whynothugo.nl,6,1420,kagi-smallweb
gustedt.wordpress.com,6,1389,kagi-smallweb
30fps.net,6,1363,kagi-smallweb
blog.codingconfessions.com,6,1359,hn-popularity
fi-le.net,6,1341,kagi-smallweb
andre.arko.net,6,1332,kagi-smallweb
blog.maximeheckel.com,6,1310,kagi-smallweb
aras-p.info,6,1309,kagi-smallweb hn-popularity
gleam.run,6,1301,hn-popularity
byroot.github.io,6,1293,kagi-smallweb
bunniestudios.com,6,1267,kagi-smallweb hn-popularity
gregorygundersen.com,6,1266,kagi-smallweb
joeyh.name,6,1262,kagi-smallweb hn-popularity
xenodium.com,6,1258,kagi-smallweb hn-personal-blogs
abuseofnotation.github.io,6,1247,kagi-smallweb
ishadeed.com,6,1238,kagi-smallweb
blog.demofox.org,6,1237,kagi-smallweb
taoofmac.com,6,1232,kagi-smallweb hn-popularity hn-personal-blogs
hakibenita.com,6,1223,kagi-smallweb
nibblestew.blogspot.com,6,1207,kagi-smallweb hn-popularity
orlp.net,6,1204,kagi-smallweb hn-popularity hn-personal-blogs
beautifulpublicdata.com,6,1199,kagi-smallweb
newsletter.mollywhite.net,6,1157,hn-popularity
jakearchibald.com,6,1150,kagi-smallweb hn-popularity
wordsandbuttons.online,6,1108,kagi-smallweb hn-popularity
zserge.com,6,1093,kagi-smallweb hn-popularity hn-personal-blogs
tomverbeure.github.io,6,1093,kagi-smallweb hn-personal-blogs
blog.brixit.nl,6,1088,kagi-smallweb hn-popularity
kguttag.com,6,1029,kagi-smallweb
evalapply.org,6,1004,kagi-smallweb hn-personal-blogs
lukeplant.me.uk,6,892,kagi-smallweb hn-personal-blogs
centauri-dreams.org,6,858,kagi-smallweb
blog.pkh.me,6,843,kagi-smallweb
ben-mini.com,5,3551,kagi-smallweb hn-popularity
fortressofdoors.com,5,3474,kagi-smallweb hn-popularity hn-personal-blogs
orchidfiles.com,5,3442,kagi-smallweb hn-popularity
sockpuppet.org,5,3154,kagi-smallweb hn-popularity
arslan.io,5,3016,kagi-smallweb
unix.foo,5,3000,kagi-smallweb hn-popularity
nelson.cloud,5,2258,kagi-smallweb hn-personal-blogs
lunduke.locals.com,5,2172,hn-popularity
birchtree.me,5,2164,kagi-smallweb
mertbulan.com,5,2150,kagi-smallweb hn-popularity
alecmuffett.com,5,2098,kagi-smallweb
worksonmymachine.substack.com,5,1869,hn-popularity
stephango.com,5,1850,kagi-smallweb
pages.cs.wisc.edu,5,1784,hn-popularity
joshcollinsworth.com,5,1783,kagi-smallweb
cprimozic.net,5,1717,kagi-smallweb
ersei.net,5,1611,kagi-smallweb
daniel.lawrence.lu,5,1562,kagi-smallweb hn-popularity
nuejs.org,5,1552,hn-popularity
hamel.dev,5,1540,kagi-smallweb
garden.bradwoods.io,5,1527,kagi-smallweb hn-personal-blogs
mooreds.com,5,1501,kagi-smallweb
fxrant.blogspot.com,5,1485,kagi-smallweb
xuanwo.io,5,1484,kagi-smallweb
manuelmoreale.com,5,1445,kagi-smallweb hn-personal-blogs
amazingcto.com,5,1427,hn-popularity
charity.wtf,5,1420,hn-popularity
blog.liw.fi,5,1394,kagi-smallweb
stavros.io,5,1389,kagi-smallweb hn-popularity
codemanship.wordpress.com,5,1387,kagi-smallweb
fromjason.xyz,5,1357,kagi-smallweb hn-popularity
craigmod.com,5,1301,kagi-smallweb hn-popularity hn-personal-blogs
thehftguy.com,5,1295,kagi-smallweb hn-popularity
steveklabnik.com,5,1291,kagi-smallweb
ergaster.org,5,1288,kagi-smallweb
