domain,name,country,source
advasa.co.jp,ADVASA,Japan,manual
carsome.my,Carsome,Malaysia,wikipedia
dragos.com,Dragos,United States,manual
dutchie.com,Dutchie.com,United States,manual
harness.io,Harness,United States,manual
pax.com,PAX Labs,United States,manual
vestiairecollective.com,Vestiaire Collective,France,wikidata
voodoo.io,Voodoo,France,wikidata
workato.com,Workato,United States,wikipedia
alan.com,Alan,France,manual
incrediblehealth.com,Incredible Health,United States,manual
hibob.com,HiBob,Israel,wikidata
solarisgroup.com,Solarisbank,Germany,wikidata
wayflyer.com,Wayflyer,Ireland,wikipedia
ai-ways.com,Aiways,China,wikidata
cresta.com,Cresta,United States,manual
clio.com,Clio,Canada,wikidata
cognite.com,Cognite,Norway,wikidata
homelight.com,HomeLight,United States,wikidata
nordsecurity.com,Nord Security,Lithuania,manual
mitti.com,SafetyCulture,Australia,manual
smarthr.co.jp,SmartHR,Japan,manual
uniteus.com,Unite Us,United States,manual
vanta.com,Vanta,United States,wikipedia
cult.fit,CureFit,India,manual
kreditbee.in,KreditBee,India,manual
airbyte.com,Airbyte,United States,manual
andela.com,Andela,Nigeria,wikidata
cultureamp.com,Culture Amp,Australia,wikipedia
devo.com,Devo Inc.,Spain,manual
granola.ai,Granola,United Kingdom,manual
id.me,ID.me,United States,wikidata
ledger.com,Ledger,France,manual
matillion.com,Matillion,United Kingdom,manual
moloco.com,MOLOCO,United States,manual
molbiodiagnostics.com,Molbio Diagnostics,India,wikidata
mu-sigma.com,Mu Sigma,India,wikidata
nextsilicon.com,NextSilicon,Israel,manual
podium.com,Podium,United States,wikidata
remote.com,Remote,Portugal,manual
render.com,Render,United States,manual
starlingbank.com,Starling Bank,United Kingdom,wikidata
tujia.com,Tujia.com,China,manual
zbj.com,ZBJ.com,China,manual
ascendcorp.com,Ascend Money,Thailand,wikipedia
hellobike.com,Hellobike,China,wikidata
weidian.com,Koudai Gouwu,China,manual
m1.com,M1 Finance,United States,manual
odyssey.systems,Odyssey,United States,manual
zeta.tech,Zeta,India,manual
einride.tech,Einride,Sweden,wikidata
eucalyptus.health,Eucalyptus Health,Australia,wikidata
deliverect.com,Deliverect,Belgium,manual
awaytravel.com,Away,United States,wikidata
getonecard.app,OneCard,India,manual
bucketplace.com,Bucketplace,South Korea,manual
cabify.com,Cabify,Spain,wikidata
chargebee.com,Chargebee,India,manual
epidemicsound.com,Epidemic Sound,Sweden,wikidata
fivestargroup.in,Five Star Finance,India,manual
iadfrance.fr,IAD,France,manual
netdocuments.com,NetDocuments,United States,wikidata
panther.com,Panther Labs Inc.,United States,manual
pristyncare.com,Pristyn Care,India,wikipedia
rebelfoods.com,Rebel Foods,India,wikidata
slash.com,Slash,United States,wikipedia
stash.com,Stash,United States,wikidata
symphony.com,Symphony,United States,wikidata
maya.ph,Voyager,Philippines,manual
yotpo.com,Yotpo,Israel,manual
ridibooks.com,RIDI,South Korea,manual
zetwerk.com,Zetwerk,India,manual
corgi.insure,Corgi,United States,wikidata
distrokid.com,DistroKid,United States,wikidata
etcp.cn,ETCP,China,manual
feedzai.com,Feedzai,Portugal,wikidata
g2.com,G2,United States,wikidata
innovaccer.com,Innovaccer,India,wikidata
konfio.mx,Konfio,Mexico,manual
yugabyte.com,Yugabyte,United States,wikidata
airtable.com,Airtable,United States,wikidata
cart.com,Cart.com,United States,wikidata
incode.com,Incode,Mexico,manual
appliedintuition.com,Applied Intuition,United States,manual
bigid.com,BigID,Israel,manual
deel.com,Deel,Israel,manual
ezcater.com,ezCater,United States,wikidata
marshmallow.com,Marshmallow,United Kingdom,manual
recroom.com,Rec Room,United States,wikidata
spiber.inc,Spiber,Japan,manual
insiderone.com,Insider,Turkey,manual
ada.cx,Ada,Canada,manual
alation.com,Alation,United States,wikipedia
axonius.com,Axonius,Israel,manual
cardekho.com,CarDekho,India,manual
copado.com,Copado,Spain,manual
droom.in,Droom,India,manual
floqast.com,FloQast,United States,wikidata
forto.com,Forto,Germany,manual
intercom.com,Intercom,United States,wikidata
kyriba.com,Kyriba,France,manual
mindtickle.com,Mindtickle,India,manual
